ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
9073,198.14,0.0020703,1.1658,2.7357,5.8651,5.0339,3.3883,1.8081,0.0010606
22565,6873.8,0.16451,0.82111,3.2712,6.8553,5.5831,2.7712,0.53327,0.00030903
11381,0,0,0,0,0,0,0,0,0
17986,366.03,0.0029675,0.32374,2.6677,7.3665,5.9803,3.0961,0.5606,0.002088
36031,943.05,0.006573,0.58039,2.6864,7.0395,6.177,2.9439,0.5608,0.0055112
7460,1044.3,0.012867,0.38864,2.547,6.6958,6.2716,3.4192,0.64925,0.015589
20607,553.94,0.164,0.56976,2.6349,6.8669,5.7947,3.1184,0.67075,0.18057
29019,250.88,0.36017,0.70567,2.9595,6.8325,5.4683,3.0763,0.59732,0.00023828
24960,484.46,0.0016421,0.75236,2.9737,6.7993,5.4817,3.1019,0.72263,0.16682
27353,690.41,0.0028393,0.52315,2.88,7.1229,5.8283,3.1864,0.45403,0.0023202
43385,138.48,0.011047,0.0097574,2.7779,7.4684,6.2075,3.5088,0.0058995,0.010663
45609,60.255,0.00092367,0.00038133,3.4526,6.4703,5.7203,4.3543,0.00034112,0.0008654
26061,551.98,0.0066367,0.46003,2.6311,7.0631,6.0572,3.1529,0.62345,0.0055731
18617,682.59,0.0035485,0.46913,2.3783,6.7767,6.4025,3.1495,0.70861,0.11171
23024,16.318,0,0,0,0,0,0,0,0
16853,743.35,0.061321,0.46877,2.5826,6.9357,5.8041,3.6402,0.5045,0.0027487
39687,317.15,0.0013702,0.37477,2.4421,6.7198,6.2426,3.5095,0.70769,0.0021926
41528,0,0,0,0,0,0,0,0,0
31076,23.431,0,0,0,0,0,0,0,0
29444,147.79,0.0050248,0.30498,2.6032,6.7149,6.205,3.1968,0.9642,0.0057387
30786,141.86,0.0027338,0.69799,3.0782,7.4994,5.3464,2.9617,0.4113,0.0022013
42114,147.7,0.00083075,0.66975,2.5768,6.2462,5.5504,3.9589,0.99522,0.0018313
36550,179.14,0.015518,0.77396,3.0503,6.702,6.0913,2.8102,0.54261,0.014049
31863,72.047,0.00097635,0.00096704,0.00056217,11.43,8.5653,0.00045034,0.00096673,0.00095307
5512,1182.7,0.015498,0.47798,2.7283,7.3267,5.7142,3.2597,0.46298,0.014618
33577,1.957,0,0,0,0,0,0,0,0
36713,454.81,0.0066413,0.50172,2.8316,7.0892,5.7935,3.211,0.56096,0.0053958
22313,668.17,0.012887,0.36776,2.4482,7.0318,6.0242,3.4313,0.66813,0.015732
14375,1051.6,0.015633,0.50706,3.0886,6.9285,5.8555,3.119,0.47169,0.014066
41281,110.59,0.0018675,0.00053661,2.6321,6.7953,5.6697,4.308,0.59128,0.0013517
42832,8.6448,0,0,0,0,0,0,0,0
6522,261.55,0.35899,0.63022,2.7467,6.9164,5.1628,3.1367,0.83337,0.21494
42090,0,0,0,0,0,0,0,0,0
28810,1161.1,0.23688,0.76184,3.2116,6.7119,5.5202,2.8341,0.54288,0.18054
26361,2810.8,0.001444,0.38899,2.6421,6.8586,6.2225,3.1756,0.6905,0.020302
9654,2033.1,0.0066384,0.47991,2.7555,7.2015,5.8983,3.1371,0.51525,0.0058168
30103,216.42,0.0131,0.40818,2.8719,7.5916,5.7647,3.3311,0.0068697,0.01264
45001,290.75,0.00059512,0.51101,2.42,6.8168,5.915,3.387,0.94917,0.00040527
35206,684.79,0.17954,0.40223,2.5513,6.3569,5.9527,3.4413,0.89337,0.22279
29872,58.588,0.0016579,1.1845,4.0772,6.7057,4.6189,3.4075,0.001275,0.0033406
20772,26.28,0,0,0,0,0,0,0,0
26489,387.58,0.46523,0.62947,2.5455,5.7835,5.7764,3.3524,0.92906,0.51833
23186,1574,0.3661,0.74362,2.8029,6.5723,5.4403,3.0195,0.77494,0.28028
12950,436.11,0.21729,0.56158,2.6428,7.1041,5.7506,3.1103,0.61107,0.0023247
27743,2289.3,0.0037734,0.40774,2.4965,6.8377,6.1836,3.3024,0.74923,0.019138
15315,961.18,0.0065849,0.54217,2.7972,7.1416,5.7039,3.2955,0.50708,0.0059151
35030,185.62,0.00098099,0.61813,2.3748,7.1129,5.6129,3.6693,0.60895,0.0020498
18147,28.142,0,0,0,0,0,0,0,0
27808,409.2,0.5497,0.70476,2.4589,6.4959,5.6461,2.9031,0.88864,0.35293
27351,8.5186,0,0,0,0,0,0,0,0
43699,9.1854,0,0,0,0,0,0,0,0
13261,984.84,2.9734,2.0628,2.3918,2.416,2.514,2.6831,2.5595,2.3992
27200,354.6,0.006606,0.53235,3.1296,7.112,5.4707,3.1477,0.59565,0.0053895
35861,226.19,0.0094571,0.57988,2.7338,7.4331,5.6081,2.7442,0.88471,0.0069038
28640,310.8,0.0065966,0.55779,2.6925,7.1558,5.8603,3.215,0.50636,0.0056773
14927,1388.7,0.21704,0.63803,3.0194,6.7396,5.5729,3.1692,0.64249,0.0013771
42911,2115.1,0.086832,0.75464,3.4586,6.9461,5.9507,2.4217,0.37971,0.0017149
17512,3457.6,0.042791,0.66648,3.4301,6.6641,5.784,2.8822,0.52889,0.0014494
23605,0,0,0,0,0,0,0,0,0
5295,54.117,0.00040133,1.3329,2.2685,5.649,5.1665,3.4494,1.2939,0.83934
47874,0,0,0,0,0,0,0,0,0
