ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
13207,911.95,0.61928,0.76559,2.9305,6.4867,5.6073,2.7461,0.84267,0.0018377
13208,192.32,0.0064524,0.63794,2.6945,7.5092,5.6578,2.6301,0.85859,0.0053569
13215,1195.4,0.0031169,0.41413,3.0107,7.3086,5.8909,3.003,0.36699,0.0025468
13217,813.72,0.0028416,0.51271,2.8487,7.0813,5.8503,3.2231,0.47872,0.0023648
13218,593.38,0.0088113,0.98709,3.5419,7.0606,5.31,2.5664,0.51289,0.012337
13234,212.19,0.00051732,1.0707,3.6721,6.4961,5.6644,1.8508,1.0302,0.21522
13257,460.66,0.0069188,0.32077,2.7117,7.3985,6.0368,3.2093,0.30968,0.0062805
13347,844.97,3.1666,2.0061,2.4469,2.4698,2.519,2.4436,2.5914,2.3567
13349,672.31,0.0065823,0.52586,3.0509,7.1058,5.9472,2.6893,0.6689,0.0054507
13370,273.27,0.21081,0.43309,3.0449,6.9061,5.7016,2.794,0.59415,0.31541
13394,2091.6,0.13708,1.1446,3.7751,6.9206,5.2836,2.3855,0.35285,0.00065491
13470,775.46,0.36365,0.75643,2.8727,6.5608,5.5854,2.842,0.75938,0.25969
13498,682.41,0.0065019,0.62832,2.722,7.0728,6.1244,2.7866,0.65385,0.0055563
13503,689.84,0.015534,0.63243,2.9344,6.7249,6.0532,3.0385,0.58706,0.014023
13535,376.6,0.015332,0.61849,3.0007,7.0954,5.7596,3.0131,0.48322,0.014119
13541,675.54,3.8028,2.3185,2.6918,1.3734,1.9932,2.7114,2.657,2.4519
13543,2898.5,0.037877,0.55871,2.9818,6.9289,6.0211,2.8854,0.5655,0.020732
13548,547.18,0.0028103,0.79593,2.6539,6.4834,5.9254,2.9964,0.78368,0.35854
13559,489.5,0.0010114,0.51208,2.2998,6.5189,6.3114,3.2648,0.79181,0.30014
13647,298.22,0.73045,1.0508,2.5038,5.9237,4.9262,3.001,1.3135,0.55049
13652,376.08,0.0010797,0.49508,2.4632,6.9257,6.164,3.2745,0.67427,0.0021706
13714,87.969,0.0023817,0.0012961,2.7315,6.3899,7.0713,3.2038,0.59826,0.0015247
13752,618.15,0.0025033,1.3403,3.2599,5.6698,5.127,3.0137,1.5855,0.0013144
13765,1786.3,0.00015814,0.46012,2.4499,6.5502,6.2702,3.428,0.77934,0.062075
13782,115.76,0.0050347,0.56175,3.5463,7.2197,5.5612,3.0993,0.001731,0.0048881
13802,141.57,0.00055685,0.94983,2.4264,6.5405,5.4703,2.9118,1.0783,0.62229
13817,277.2,0.70986,0.92477,2.8479,5.8675,5.1929,2.8481,1.0282,0.58071
13831,314.34,0.26508,0.66022,3.0439,6.7895,5.2669,2.9088,0.75447,0.31117
13858,170.54,0.0014814,0.35896,2.2445,6.8947,5.8349,3.6992,0.57539,0.39081
13891,360.29,0.015336,0.59012,2.7564,6.7103,5.9879,3.3706,0.55544,0.013969
13904,988.45,0.088258,0.85233,3.6988,6.4263,5.4113,2.9332,0.46906,0.12079
13967,281.82,0.48554,0.53995,2.3538,6.0494,5.5256,3.1823,1.1854,0.67798
14002,132.6,0.38838,0.51011,2.0559,6.4008,5.7654,3.4097,1.0188,0.45096
14050,331.37,0.26393,0.70531,2.6055,7.1029,5.7404,2.9043,0.67736,0.00021957
14066,697.31,0.0065778,0.53675,2.7961,7.0862,6.1893,2.7896,0.58979,0.0057538
